comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 12,W 1–0,33c895d4,4ba7cbea,1,90,3,0,3,100.0,1,0.4,0,0,0,0,10,17,58.8,24,6,41.7,40.0,12,58.3,47.1,19,3,15.8,0,5.0,2022-10-19,8a2bb3b6
Premier League,Matchweek 13,D 1–1,33c895d4,18bb7c10,1,90,3,1,2,66.7,0,0.6,0,0,0,0,4,10,40.0,27,5,37.0,36.0,6,0.0,17.2,9,0,0.0,2,14.6,2022-10-23,d8138438
Premier League,Matchweek 14,L 0–1,33c895d4,47c64c55,1,90,3,1,2,66.7,0,0.8,0,0,0,0,6,17,35.3,41,9,36.6,32.9,5,40.0,34.4,10,1,10.0,3,16.0,2022-10-29,4be07239
Premier League,Matchweek 15,L 1–4,33c895d4,b2b47a98,1,90,4,4,0,0.0,0,2.6,0,0,0,0,11,23,47.8,29,2,69.0,42.1,4,75.0,53.5,6,2,33.3,1,11.3,2022-11-06,57f9bcc9
Premier League,Matchweek 16,L 1–3,33c895d4,822bd0ba,1,90,7,3,4,57.1,0,2.9,0,0,0,0,9,25,36.0,35,8,48.6,38.2,11,72.7,51.8,22,0,0.0,0,12.0,2022-11-12,1579d34b
Premier League,Matchweek 17,L 1–3,33c895d4,d07537b9,1,90,4,3,2,25.0,0,0.8,0,0,0,0,2,12,16.7,29,9,31.0,29.9,4,75.0,54.0,10,2,20.0,1,9.2,2022-12-26,3527c390
Premier League,Matchweek 18,L 1–2,33c895d4,fd962109,1,90,2,2,0,0.0,0,1.3,1,0,1,0,8,24,33.3,31,7,58.1,40.9,7,85.7,67.1,9,0,0.0,2,16.1,2022-12-31,a15bf99e
Premier League,Matchweek 19,L 0–1,33c895d4,e4a775cb,1,90,1,1,0,0.0,0,0.5,0,0,0,0,3,15,20.0,24,4,50.0,35.3,6,50.0,40.7,9,1,11.1,1,27.5,2023-01-04,cc17c735
Premier League,Matchweek 20,W 2–1,33c895d4,d3fd31cc,1,90,4,1,3,75.0,0,0.7,0,0,0,0,6,22,27.3,27,7,48.1,37.1,10,90.0,60.1,21,1,4.8,0,4.8,2023-01-14,11603f7f
Premier League,Matchweek 21,L 0–1,33c895d4,8602292d,1,90,5,1,4,80.0,0,0.3,0,0,0,0,6,16,37.5,18,2,44.4,38.2,9,88.9,60.6,13,0,0.0,0,13.0,2023-01-21,91d49468
Premier League,Matchweek 22,L 0–3,33c895d4,cd051869,1,90,3,3,0,0.0,0,2.2,0,0,0,0,4,17,23.5,19,2,52.6,34.5,10,70.0,50.0,13,2,15.4,2,17.8,2023-02-04,ef31dad5
Premier League,Matchweek 23,L 1–2,33c895d4,8cec06e1,1,90,1,2,0,-100.0,0,0.3,0,0,0,0,13,22,59.1,20,0,90.0,51.0,4,100.0,62.0,9,0,0.0,0,,2023-02-11,8c7913ed
Premier League,Matchweek 24,W 1–0,33c895d4,cff3d9bb,1,90,4,0,4,100.0,1,0.7,0,0,0,0,6,26,23.1,36,6,58.3,44.6,9,55.6,44.7,17,3,17.6,3,17.5,2023-02-18,8d750d5d
Premier League,Matchweek 25,L 0–1,33c895d4,5bfb9659,1,90,4,1,3,75.0,0,0.2,0,0,0,0,8,22,36.4,31,3,54.8,39.5,7,71.4,51.6,21,1,4.8,0,10.0,2023-02-25,9edb32a3
Premier League,Matchweek 26,W 1–0,33c895d4,a2d435b3,1,90,0,0,0,,1,0.0,0,0,0,0,6,27,22.2,30,6,53.3,35.6,11,100.0,66.5,17,0,0.0,2,17.5,2023-03-04,4d14422c
Premier League,Matchweek 27,D 0–0,33c895d4,19538871,1,90,4,0,4,100.0,1,0.5,0,0,0,0,1,6,16.7,18,4,33.3,30.8,4,0.0,10.0,15,1,6.7,2,19.0,2023-03-12,9cd3ca2c
Premier League,Matchweek 7,L 0–2,33c895d4,cd051869,1,90,4,2,2,50.0,0,1.9,0,0,0,0,4,16,25.0,38,4,34.2,30.7,5,60.0,39.6,9,0,0.0,5,25.6,2023-03-15,a4202b5b
Premier League,Matchweek 28,D 3–3,33c895d4,361ca564,1,90,3,3,0,0.0,0,1.6,0,0,0,0,2,10,20.0,15,2,40.0,35.1,6,66.7,49.5,15,0,0.0,1,18.0,2023-03-18,bd9ec55d
Premier League,Matchweek 29,L 0–1,33c895d4,7c21e445,1,90,2,1,1,50.0,0,0.4,0,0,0,0,7,11,63.6,31,6,25.8,26.1,8,37.5,29.5,14,2,14.3,1,13.3,2023-04-02,42e1f38d
Premier League,Matchweek 30,L 1–4,33c895d4,b8fd03ef,1,90,8,4,4,62.5,0,2.7,1,1,0,0,5,20,25.0,42,4,45.2,38.0,3,33.3,39.0,16,1,6.3,0,6.0,2023-04-08,fb045117
Premier League,Matchweek 31,L 0–2,33c895d4,47c64c55,1,90,2,2,0,0.0,0,1.2,0,0,0,0,3,6,50.0,26,7,15.4,26.8,8,25.0,26.5,5,1,20.0,2,12.0,2023-04-15,67f47a1b
Premier League,Matchweek 32,D 3–3,33c895d4,18bb7c10,1,90,5,3,2,40.0,0,0.9,0,0,0,0,7,33,21.2,24,1,79.2,51.0,18,77.8,55.5,23,1,4.3,1,16.0,2023-04-21,12efc7dd
Premier League,Matchweek 33,L 0–1,33c895d4,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-27,ccabe10f
Premier League,Matchweek 34,L 1–3,33c895d4,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-30,b16063b6
Premier League,Matchweek 35,L 3–4,33c895d4,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-08,23e7953f
Premier League,Matchweek 36,L 0–2,33c895d4,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-13,e05f67be
Premier League,Matchweek 37,L 1–3,33c895d4,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-21,017addef
Premier League,Matchweek 38,D 4–4,33c895d4,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-28,8e5c6ea7
