,total_points,predicted_points,difference,FPL_Name
406.0,0,0.0,0.0,Charlie Goode
403.0,0,0.0,0.0,Marcus Forss
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
85.0,1,1.0,0.0,Nathan Redmond
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
349.0,0,0.0,0.0,Nathan Tella
,0,0.0,0.0,
,0,0.0,0.0,
49.0,0,0.0,0.0,Willy Caballero
339.0,0,0.0,0.0,Will Smallbone
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
122.0,0,0.0,0.0,Allan Marques Loureiro
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
613.0,1,1.0,0.0,Lewis Miley
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
208.0,0,0.0,0.0,Nicolas Pépé
408.0,0,0.0,0.0,Nuno Varela Tavares
347.0,0,0.0,0.0,Pablo Marí Villar
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
614.0,1,1.0,0.0,Kamari Doyle
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
609.0,1,1.0,0.0,Cameron Peupion
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
617.0,1,1.0,0.0,George Abbott
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
618.0,1,1.0,0.0,Matthew Craig
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
557.0,1,1.0,0.0,Andrew Moran
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
476.0,1,1.0,0.0,Carlos Ribeiro Dias
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
593.0,1,1.0,0.0,Mislav Orsic
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
607.0,1,1.0,0.0,Jack Hinshelwood
568.0,1,1.0,0.0,David Ozoh
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
124.0,1,1.0,0.0,Emil Krafth
207.0,0,0.0,0.0,Malang Sarr
352.0,0,0.0,0.0,Lewis Bate
97.0,0,0.0,0.0,Paul Dummett
,0,0.0,0.0,
68.0,0,0.0,0.0,Dwight Gayle
412.0,0,0.0,0.0,Taylor Richards
247.0,0,0.0,0.0,Callum Hudson-Odoi
382.0,0,0.0,0.0,Jakub Moder
148.0,0,0.0,0.0,Alex Telles
137.0,0,0.0,0.0,Eric Bailly
,0,0.0,0.0,
361.0,0,0.0,0.0,Stuart Dallas
151.0,99,99.0,0.0,Vicente Guaita
331.0,0,0.0,0.0,Brandon Williams
113.0,0,0.0,0.0,Tyler Roberts
46.0,0,0.0,0.0,Christian Benteke
244.0,0,0.0,0.0,Hamza Choudhury
,0,0.0,0.0,
364.0,0,0.0,0.0,Jamie Shackleton
83.0,0,0.0,0.0,Karl Darlow
99.0,0,0.0,0.0,Ciaran Clark
66.0,0,0.0,0.0,Federico Fernández
4.0,0,0.0,0.0,Jannik Vestergaard
98.0,0,0.0,0.0,Jack Butland
93.0,0,0.0,0.0,Ryan Bertrand
69.0,0,0.0,0.0,Kasper Schmeichel
409.0,0,0.0,0.0,Kristoffer Klaesson
422.0,0,0.0,0.0,Leo Fuhr Hjelde
105.0,0,0.0,0.0,Phil Jones
,0,0.0,0.0,
,0,0.0,0.0,
350.0,0,0.0,0.0,Jarrad Branthwaite
,0,0.0,0.0,
43.0,0,0.0,0.0,Ross Barkley
,0,0.0,0.0,
246.0,0,0.0,0.0,Nathan Ferguson
,0,0.0,0.0,
,0,0.0,0.0,
82.0,0,0.0,0.0,Andros Townsend
138.0,0,0.0,0.0,Jeff Hendrick
424.0,0,0.0,0.0,James McAtee
,0,0.0,0.0,
,0,0.0,0.0,
328.0,0,0.0,0.0,Steven Alzate
,0,0.0,0.0,
,0,0.0,0.0,
,0,0.0,0.0,
388.0,0,0.0,0.0,Jesurun Rak-Sakyi
373.0,0,0.0,0.0,Liam Delap
0.0,0,0.0,0.0,Timo Werner
,0,0.0,0.0,
324.0,0,0.0,0.0,Zack Steffen
125.0,0,0.0,0.0,Marcos Alonso
,0,0.0,0.0,
,0,0.0,0.0,
162.0,0,0.0,0.0,André Tavares Gomes
184.0,0,0.0,0.0,Jean-Philippe Gbamin
199.0,67,66.99,0.010000000000005116,Aaron Wan-Bissaka
411.0,11,10.94,0.0600000000000005,Enock Mwepu
134.0,4,3.87,0.1299999999999999,Javier Manquillo Gaitán
187.0,67,66.86,0.14000000000000057,Marc Roca Junqué
528.0,70,69.82,0.18000000000000682,Serge Aurier
575.0,27,26.8,0.1999999999999993,Mateus Cardoso Lemos Martins
410.0,49,48.78,0.21999999999999886,Nathan Collins
604.0,35,34.77,0.22999999999999687,Mario Lemina
16.0,4,3.76,0.2400000000000002,Junior Stanislas
50.0,4,3.72,0.2799999999999998,James McArthur
198.0,36,35.7,0.29999999999999716,Scott McTominay
278.0,117,116.7,0.29999999999999716,William Saliba
126.0,39,38.7,0.29999999999999716,Michael Keane
502.0,25,24.7,0.3000000000000007,James Garner
581.0,2,1.69,0.31000000000000005,Ben Doak
536.0,98,97.68,0.3199999999999932,Lucas Tolentino Coelho de Lima
508.0,3,2.66,0.33999999999999986,Luke Harris
519.0,82,81.65,0.3499999999999943,Manuel Akanji
615.0,2,1.62,0.3799999999999999,Dominic Ballard
390.0,30,29.55,0.4499999999999993,Sam Greenwood
515.0,3,2.55,0.4500000000000002,Mateo Joseph Fernández
368.0,8,7.54,0.45999999999999996,Donny van de Beek
584.0,4,3.48,0.52,Facundo Pellistri Rebollo
312.0,2,1.42,0.5800000000000001,Jamal Lewis
538.0,5,4.39,0.6100000000000003,Joseph Hodge
177.0,2,1.38,0.6200000000000001,Morgan Sanson
460.0,2,1.37,0.6299999999999999,Jamal Lowe
441.0,64,63.37,0.6300000000000026,Ryan Christie
474.0,29,28.32,0.6799999999999997,Rico Lewis
213.0,86,85.32,0.6800000000000068,Youri Tielemans
322.0,82,81.31,0.6899999999999977,Mason Mount
29.0,78,77.29,0.7099999999999937,Joel Ward
65.0,127,126.27,0.730000000000004,Lukasz Fabianski
588.0,5,4.24,0.7599999999999998,Gustavo Henrique Furtado Scarpa
558.0,26,25.22,0.7800000000000011,Facundo Buonanotte
370.0,48,47.2,0.7999999999999972,Konstantinos Tsimikas
468.0,7,6.18,0.8200000000000003,Jay Stansfield
505.0,1,0.17,0.83,Nathaniel Chalobah
356.0,7,6.16,0.8399999999999999,Marek Rodák
507.0,2,1.14,0.8600000000000001,Josh Onomah
573.0,29,28.07,0.9299999999999997,Daniel Iversen
23.0,6,5.05,0.9500000000000002,Mohamed Elneny
405.0,4,3.03,0.9700000000000002,Halil Dervişoğlu
163.0,108,107.0,1.0,Rodrigo Hernandez
200.0,49,47.98,1.0200000000000031,Tosin Adarabioyo
499.0,25,23.97,1.0300000000000011,Pierre-Emerick Aubameyang
456.0,14,12.91,1.0899999999999999,Keane Lewis-Potter
454.0,52,50.89,1.1099999999999994,Deniz Undav
360.0,66,64.85,1.1500000000000057,Pascal Struijk
