comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 13,D 0–0,8602292d,943e8050,1,90,4,0,4,100.0,1,0.4,0,0,0,0,7,16,43.8,22,4,54.5,39.9,4,100.0,59.8,12,0,0.0,0,,2020-12-17,5d89f60c
Premier League,Matchweek 14,W 3–0,8602292d,60c6b05f,1,90,1,0,1,100.0,1,0.3,0,0,0,0,1,2,50.0,12,5,16.7,25.4,0,,,8,0,0.0,2,19.0,2020-12-20,4bbe55ff
Premier League,Matchweek 15,W 3–0,8602292d,47c64c55,1,90,6,0,6,100.0,1,0.8,0,0,0,0,8,22,36.4,20,5,70.0,51.2,10,80.0,54.7,17,4,23.5,0,6.3,2020-12-26,537b6ef8
Premier League,Matchweek 16,D 1–1,8602292d,cff3d9bb,1,90,5,1,4,80.0,0,0.8,0,0,0,0,10,27,37.0,26,3,69.2,44.7,10,90.0,60.8,22,3,13.6,0,6.0,2020-12-28,ac7d1071
Premier League,Matchweek 17,L 1–2,8602292d,19538871,1,90,9,2,7,88.9,0,1.8,1,1,0,0,5,17,29.4,25,10,44.0,36.1,10,60.0,47.0,13,0,0.0,4,26.6,2021-01-01,0ae3a66d
Premier League,Matchweek 1,L 0–2,8602292d,b8fd03ef,1,90,9,2,0,88.9,0,2.8,1,1,0,0,6,24,25.0,37,3,51.4,42.1,8,62.5,40.6,25,2,8.0,0,6.3,2021-01-20,c9710420
Premier League,Matchweek 11,W 2–0,8602292d,b2b47a98,1,90,1,0,1,100.0,1,0.4,0,0,0,0,10,16,62.5,41,4,34.1,29.3,3,66.7,50.7,23,1,4.3,0,16.3,2021-01-23,b2143993
Premier League,Matchweek 20,L 2–3,8602292d,943e8050,1,90,5,3,2,40.0,0,1.7,0,0,0,0,9,25,36.0,42,5,45.2,39.0,7,85.7,56.3,14,3,21.4,4,18.6,2021-01-27,f45d57b7
Premier League,Matchweek 21,W 1–0,8602292d,33c895d4,1,90,4,0,4,100.0,1,0.6,0,0,0,0,9,21,42.9,29,1,51.7,40.5,9,66.7,51.6,18,0,0.0,1,9.7,2021-01-30,10d13e5b
Premier League,Matchweek 22,L 1–3,8602292d,7c21e445,1,90,9,3,6,66.7,0,2.2,0,0,0,0,5,9,55.6,35,9,22.9,26.2,5,20.0,33.2,14,1,7.1,0,10.5,2021-02-03,8f9d1856
Premier League,Matchweek 23,W 1–0,8602292d,18bb7c10,1,90,3,0,3,100.0,1,0.7,0,0,0,0,14,32,43.8,31,2,67.7,44.8,12,91.7,60.1,24,2,8.3,0,4.8,2021-02-06,224bcfc4
Premier League,Matchweek 24,D 0–0,8602292d,d07537b9,1,90,9,0,9,100.0,1,2.3,0,0,0,0,8,15,53.3,22,5,54.5,39.7,6,50.0,41.0,18,0,0.0,0,13.0,2021-02-13,c7922348
Premier League,Matchweek 25,L 1–2,8602292d,a2d435b3,1,90,7,2,5,71.4,0,1.7,0,0,0,0,1,5,20.0,23,5,21.7,30.0,5,0.0,19.0,10,0,0.0,1,25.5,2021-02-21,2c6f8c0e
Premier League,Matchweek 26,W 1–0,8602292d,5bfb9659,1,90,3,0,3,100.0,1,0.3,0,0,0,0,11,27,40.7,24,5,66.7,43.5,11,100.0,65.3,25,4,16.0,0,6.2,2021-02-27,70056c3b
Premier League,Matchweek 29,L 0–1,8602292d,1df6b87e,1,90,2,1,1,50.0,0,0.8,0,0,0,0,4,7,57.1,30,6,23.3,26.6,1,0.0,33.0,7,1,14.3,3,23.0,2021-03-03,3a9c1c4d
Premier League,Matchweek 27,D 0–0,8602292d,8cec06e1,1,90,2,0,2,100.0,1,0.9,0,0,0,0,5,10,50.0,23,3,34.8,31.4,9,22.2,26.0,19,1,5.3,0,14.5,2021-03-06,e52c1e46
Premier League,Matchweek 28,D 1–1,8602292d,b2b47a98,1,90,3,1,2,66.7,0,1.6,0,0,0,0,3,23,13.0,30,3,60.0,43.7,5,100.0,65.2,21,0,0.0,2,21.7,2021-03-12,5ac8e391
Premier League,Matchweek 18,L 0–2,8602292d,361ca564,1,90,3,2,1,66.7,0,2.0,1,1,0,0,0,1,0.0,20,2,5.0,21.5,4,0.0,19.3,13,1,7.7,5,25.7,2021-03-21,faf3633c
Premier League,Matchweek 30,W 3–1,8602292d,fd962109,1,90,7,1,6,85.7,0,1.1,0,0,0,0,3,8,37.5,25,4,28.0,32.2,4,25.0,30.5,10,0,0.0,2,18.8,2021-04-04,a2d96ab5
Premier League,Matchweek 31,L 1–2,8602292d,822bd0ba,1,90,10,2,8,80.0,0,2.7,0,0,0,0,15,28,53.6,27,5,74.1,48.0,11,72.7,43.8,17,0,0.0,0,,2021-04-10,20bdebdc
Premier League,Matchweek 32,L 1–2,8602292d,b8fd03ef,1,90,3,2,1,33.3,0,1.3,0,0,0,0,2,14,14.3,27,4,40.7,36.6,6,50.0,37.7,12,1,8.3,0,6.0,2021-04-21,ac46a079
Premier League,Matchweek 33,D 2–2,8602292d,60c6b05f,1,90,4,2,3,75.0,0,1.4,1,1,0,0,3,5,60.0,24,4,20.8,30.4,7,0.0,18.1,9,1,11.1,2,13.3,2021-04-25,2ab535fa
Premier League,Matchweek 34,W 2–1,8602292d,d3fd31cc,1,90,3,1,2,66.7,0,0.2,0,0,0,0,7,16,43.8,35,3,28.6,29.1,13,46.2,39.2,13,0,0.0,0,4.0,2021-05-01,2452619d
Premier League,Matchweek 35,L 1–3,8602292d,19538871,1,90,7,3,4,71.4,0,2.3,1,1,0,0,5,15,33.3,29,10,44.8,37.0,4,50.0,38.5,15,0,0.0,0,3.0,2021-05-09,c80d17ca
Premier League,Matchweek 19,D 0–0,8602292d,d3fd31cc,1,90,5,0,5,100.0,1,0.5,0,0,0,0,4,16,25.0,35,9,28.6,30.2,8,75.0,48.0,16,2,12.5,2,13.2,2021-05-13,b5b24fd8
Premier League,Matchweek 36,L 2–3,8602292d,47c64c55,1,90,8,3,5,62.5,0,1.8,0,0,0,0,9,18,50.0,27,6,55.6,42.0,3,100.0,59.0,22,2,9.1,0,6.3,2021-05-16,7b21d5b9
Premier League,Matchweek 37,W 2–1,8602292d,361ca564,1,90,4,1,3,75.0,0,0.8,0,0,0,0,7,17,41.2,27,7,55.6,42.0,4,50.0,43.8,15,1,6.7,0,4.0,2021-05-19,d4273555
Premier League,Matchweek 38,W 2–1,8602292d,cff3d9bb,1,90,7,1,6,85.7,0,2.0,0,0,0,0,8,22,36.4,24,4,54.2,44.0,10,90.0,61.2,28,0,0.0,0,,2021-05-23,0143966a
