comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 11,W 2–0,a2d435b3,47c64c55,1,90,3,0,3,100.0,1,0.3,0,0,0,0,6,11,54.5,23,5,39.1,35.7,7,28.6,26.4,16,1,6.3,0,5.0,2019-11-03,25d28387
Premier League,Matchweek 12,W 2–0,a2d435b3,18bb7c10,1,90,1,0,1,100.0,1,0.2,0,0,0,0,2,4,50.0,17,5,23.5,24.9,5,0.0,23.0,14,0,0.0,1,36.0,2019-11-09,8e13e609
Premier League,Matchweek 13,W 2–0,a2d435b3,d07537b9,1,90,0,0,0,,1,0.0,0,0,0,0,3,14,21.4,22,2,50.0,39.4,7,42.9,45.1,19,0,0.0,0,15.0,2019-11-23,d0f6bac9
Premier League,Matchweek 14,W 2–1,a2d435b3,d3fd31cc,1,90,3,1,2,66.7,0,0.6,0,0,0,0,3,6,50.0,25,5,20.0,29.5,6,16.7,22.8,12,0,0.0,5,28.5,2019-12-01,aa2284c2
Premier League,Matchweek 15,W 2–0,a2d435b3,2abfe087,1,90,1,0,1,100.0,1,0.0,0,0,0,0,2,8,25.0,21,3,23.8,31.8,8,37.5,38.1,13,0,0.0,1,41.0,2019-12-04,8b04b0d5
Premier League,Matchweek 16,W 4–1,a2d435b3,8602292d,1,90,2,1,1,50.0,0,1.1,0,0,0,0,10,14,71.4,20,2,45.0,36.7,8,62.5,41.1,24,0,0.0,0,4.0,2019-12-08,559e812a
Premier League,Matchweek 17,D 1–1,a2d435b3,1c781004,1,90,3,1,2,66.7,0,0.7,0,0,0,0,5,10,50.0,26,3,34.6,33.5,4,25.0,24.8,11,0,0.0,3,35.0,2019-12-14,3b2eb152
Premier League,Matchweek 18,L 1–3,a2d435b3,b8fd03ef,1,90,12,3,9,83.3,0,3.5,1,1,0,0,2,10,20.0,32,5,28.1,31.6,8,12.5,21.8,11,0,0.0,0,12.0,2019-12-21,733c0243
Premier League,Matchweek 19,L 0–4,a2d435b3,822bd0ba,1,90,6,4,2,50.0,0,3.2,1,1,0,0,8,15,53.3,29,5,37.9,31.6,9,44.4,33.6,29,0,0.0,2,15.5,2019-12-26,4b8063da
Premier League,Matchweek 20,W 2–1,a2d435b3,7c21e445,1,90,4,1,3,75.0,0,0.5,0,0,0,0,4,12,33.3,29,5,27.6,32.7,7,57.1,43.3,13,0,0.0,2,21.3,2019-12-28,1f2bd890
Premier League,Matchweek 21,W 3–0,a2d435b3,b2b47a98,1,90,2,0,2,100.0,1,0.8,0,0,0,0,1,1,100.0,15,5,6.7,26.2,1,0.0,23.0,8,0,0.0,1,17.0,2020-01-01,a7902bb1
